Date,Time,x-booster (km),y-booster (km),z-booster (km),x-moon (km),y-moon (km),z-moon (km)
12/31/2021,11:59:59 PM,-131829.8345,37324.79305,67638.62324,-91760.73553,-315048.0926,-145314.7465
1/1/2022,12:59:59 AM,-131067.8461,30379.89551,69447.58411,-87935.56138,-315743.8785,-145990.4928
1/1/2022,1:59:59 AM,-130109.8211,23388.96247,71153.40667,-84100.31498,-316404.2184,-146649.8522
1/1/2022,2:59:59 AM,-128953.2687,16362.99964,72750.85055,-80255.41979,-317029.0513,-147292.6756
1/1/2022,3:59:59 AM,-127595.3256,9311.244064,74234.04443,-76401.27563,-317618.2494,-147918.9843
1/1/2022,4:59:59 AM,-126033.0955,2244.840218,75599.00629,-72538.35278,-318171.753,-148528.6268
1/1/2022,5:59:59 AM,-124266.5597,-4824.521919,76841.39734,-68666.99937,-318689.5114,-149121.508
1/1/2022,6:59:59 AM,-122294.3504,-11886.02036,77956.00413,-64787.7708,-319171.381,-149697.6448
1/1/2022,7:59:59 AM,-120116.475,-18926.99165,78940.18021,-60901.00752,-319617.325,-150256.9391
1/1/2022,8:59:59 AM,-117734.7538,-25935.93343,79791.15953,-57007.21682,-320027.3062,-150799.2343
1/1/2022,9:59:59 AM,-115151.7154,-32900.53525,80504.615,-53106.77118,-320401.2129,-151324.5996
1/1/2022,10:59:59 AM,-112370.7716,-39808.21211,81080.02138,-49200.17349,-320739.0511,-151832.8184
1/1/2022,11:59:59 AM,-109395.5858,-46647.06798,81515.75071,-45287.90086,-321040.7066,-152323.9562
1/1/2022,12:59:59 PM,-106231.9662,-53404.91602,81810.55695,-41370.27111,-321306.1749,-152797.9062
1/1/2022,1:59:59 PM,-102885.3073,-60072.14877,81965.18649,-37447.82095,-321535.4272,-153254.5599
1/1/2022,2:59:59 PM,-99363.27951,-66636.22856,81978.91613,-33521.02045,-321728.3996,-153693.9198
1/1/2022,3:59:59 PM,-95673.17074,-73087.04571,81854.81994,-29590.22704,-321885.0739,-154115.9295
1/1/2022,4:59:59 PM,-91821.90787,-79415.98961,81592.49851,-25655.96255,-322005.4217,-154520.5306
1/1/2022,5:59:59 PM,-87819.77727,-85613.74229,81196.38905,-21718.63237,-322089.4335,-154907.6624
1/1/2022,6:59:59 PM,-83674.29854,-91672.52981,80668.10945,-17778.69245,-322137.0756,-155277.3178
1/1/2022,7:59:59 PM,-79395.8164,-97584.83279,80010.19328,-13836.65443,-322148.3735,-155629.3749
1/1/2022,8:59:59 PM,-74993.07806,-103345.4996,79228.27401,-9892.854071,-322123.3148,-155963.8219
1/1/2022,9:59:59 PM,-70475.39538,-108948.7983,78324.45955,-5947.848608,-322061.8575,-156280.7005
1/1/2022,10:59:59 PM,-65853.82367,-114390.445,77305.144,-2002.025513,-321964.0554,-156579.8809
1/1/2022,11:59:59 PM,-61136.99403,-119667.3761,76173.15858,1944.120613,-321829.9128,-156861.3432
1/2/2022,12:59:59 AM,-56333.35549,-124776.6492,74934.54334,5890.154363,-321659.4429,-157125.0648
1/2/2022,1:59:59 AM,-51454.22454,-129715.943,73593.69624,9835.643278,-321452.6657,-157371.0199
1/2/2022,2:59:59 AM,-46506.24206,-134485.4399,72155.3894,13780.1006,-321209.583,-157599.2362
1/2/2022,3:59:59 AM,-41499.8172,-139082.7526,70625.13478,17723.10188,-320930.2851,-157809.5701
1/2/2022,4:59:59 AM,-36441.35465,-143510.0488,69007.79881,21664.22087,-320614.759,-158002.0994
1/2/2022,5:59:59 AM,-31339.20888,-147766.9604,67307.85284,25602.97998,-320263.0573,-158176.7866
1/2/2022,6:59:59 AM,-26201.72423,-151856.4026,65530.75355,29538.90475,-319875.2418,-158333.5914
1/2/2022,7:59:59 AM,-21035.43207,-155777.6399,63681.52564,33471.5767,-319451.35,-158472.5262
1/2/2022,8:59:59 AM,-15846.27826,-159533.9809,61763.76305,37400.58203,-318991.4528,-158593.5446
1/2/2022,9:59:59 AM,-10640.82062,-163129.1594,59782.32512,41325.39499,-318495.6141,-158696.6529
1/2/2022,10:59:59 AM,-5424.837669,-166563.5766,57742.7784,45245.60292,-317963.8938,-158781.8543
1/2/2022,11:59:59 AM,-203.7960324,-169842.1372,55647.0122,49160.79452,-317396.3575,-158849.149
1/2/2022,12:59:59 PM,5017.69301,-172966.1136,53501.05551,53070.45383,-316793.1229,-158898.4778
1/2/2022,1:59:59 PM,10234.55554,-175940.9546,51307.62507,56974.21918,-316154.2073,-158929.9468
1/2/2022,2:59:59 PM,15443.71967,-178768.2993,49070.79798,60871.57763,-315479.7451,-158943.4905
1/2/2022,3:59:59 PM,20640.5631,-181453.1917,46793.46025,64762.11848,-314769.8051,-158939.1528
1/2/2022,4:59:59 PM,25822.23394,-183996.8737,44479.94178,68645.38796,-314024.5287,-158916.8619
1/2/2022,5:59:59 PM,30983.39546,-186406.6956,42131.72048,72520.97129,-313243.9719,-158876.7114
