Date,Time,x-booster (km),y-booster (km),z-booster (km),x-moon (km),y-moon (km),z-moon (km)
1/1/2022,8:59:59 AM,-119564.997,-26339.11996,76884.56467,-57007.21682,-320027.3062,-150799.2343
1/1/2022,9:59:59 AM,-117043.2597,-33440.97722,77497.94972,-53106.77118,-320401.2129,-151324.5996
1/1/2022,10:59:59 AM,-114289.5283,-40487.94647,78003.10144,-49200.17349,-320739.0511,-151832.8184
1/1/2022,11:59:59 AM,-111305.8857,-47461.63367,78399.96104,-45287.90086,-321040.7066,-152323.9562
1/1/2022,12:59:59 PM,-108098.1759,-54343.09665,78688.59598,-41370.27111,-321306.1749,-152797.9062
1/1/2022,1:59:59 PM,-104674.3574,-61116.73017,78869.29393,-37447.82095,-321535.4272,-153254.5599
1/1/2022,2:59:59 PM,-101045.7105,-67764.52117,78941.27583,-33521.02045,-321728.3996,-153693.9198
1/1/2022,3:59:59 PM,-97225.80922,-74273.14374,78904.53432,-29590.22704,-321885.0739,-154115.9295
1/1/2022,4:59:59 PM,-93227.20122,-80631.41591,78757.61364,-25655.96255,-322005.4217,-154520.5306
1/1/2022,5:59:59 PM,-89067.51398,-86830.13583,78500.8612,-21718.63237,-322089.4335,-154907.6624
1/1/2022,6:59:59 PM,-84760.63513,-92862.70678,78132.81809,-17778.69245,-322137.0756,-155277.3178
1/1/2022,7:59:59 PM,-80322.60378,-98723.94056,77653.00486,-13836.65443,-322148.3735,-155629.3749
1/1/2022,8:59:59 PM,-75767.76658,-104413.0724,77061.85373,-9892.854071,-322123.3148,-155963.8219
1/1/2022,9:59:59 PM,-71108.92885,-109928.1856,76358.74022,-5947.848608,-322061.8575,-156280.7005
1/1/2022,10:59:59 PM,-66360.29102,-115270.1969,75545.21014,-2002.025513,-321964.0554,-156579.8809
1/1/2022,11:59:59 PM,-61531.73228,-120440.0227,74621.7789,1944.120613,-321829.9128,-156861.3432
1/2/2022,12:59:59 AM,-56632.64639,-125439.5693,73590.09935,5890.154363,-321659.4429,-157125.0648
1/2/2022,1:59:59 AM,-51673.96622,-130269.9111,72452.37537,9835.643278,-321452.6657,-157371.0199
1/2/2022,2:59:59 AM,-46661.41643,-134934.1687,71211.28163,13780.1006,-321209.583,-157599.2362
1/2/2022,3:59:59 AM,-41604.24681,-139432.7387,69869.5541,17723.10188,-320930.2851,-157809.5701
1/2/2022,4:59:59 AM,-36507.16383,-143769.2126,68431.15691,21664.22087,-320614.759,-158002.0994
1/2/2022,5:59:59 AM,-31376.81484,-147944.2756,66899.5849,25602.97998,-320263.0573,-158176.7866
1/2/2022,6:59:59 AM,-26219.83701,-151961.3782,65279.68071,29538.90475,-319875.2418,-158333.5914
